183,Kamari Lassiter
184,Dalton Schultz
185,Tre'von Moehrig
186,Henry To'oTo'o
187,Akeem Davis-Gaither
188,Kevin Byard III
189,Zyon McCollum
190,Carnell Tate
191,Kyler Murray
192,Myles Garrett
193,Jayden Reed
194,Jessie Bates III
195,Amani Hooker
196,Kenny Gainwell
197,Brian Burns
198,Michael Wilson
199,D.J. Reed Jr.
200,Xavier Watts
201,Quentin Johnston
202,Cooper DeJean
203,Dax Hill
204,Jalen Thompson
205,A.J. Terrell Jr.
206,Cole Bishop
207,Minkah Fitzpatrick
208,Jeffery Simmons
209,Kyle Monangai
210,Ronnie Hickman Jr.
211,Jakobi Meyers
212,Omar Speights
213,Chris Godwin Jr.
214,Jordan Addison
215,Kool-Aid McKinstry
216,Rachaad White
217,C.J. Gardner-Johnson
218,Paulson Adebo
219,Baker Mayfield
220,Brandon Jones
221,Zayne Anderson
222,T.J. Hockenson
223,Jevon Holland
224,Ty Okada
225,Devon Witherspoon
226,Jaylon Carlies
227,Reed Blankenship
228,Jalen Ramsey
229,Pat Freiermuth
230,Dillon Thieneman
231,Jordan Love
232,Aaron Jones Sr.
233,Xavier Worthy
234,Jacory Croskey-Merritt
235,Wan'Dale Robinson
236,Carlton Davis III
237,Jalen Pitre
238,Nate Wiggins
239,Bryan Cook
240,De'Zhaun Stribling
241,Andrew Van Ginkel
242,Julian Love
243,Greg Dulcich
244,Tyler Shough
245,Christian Harris
246,Drake Thomas
247,Evan Williams
248,Alontae Taylor
249,Matthew Golden
250,Kenyon Sadiq
251,Tyrique Stevenson
252,RJ Harvey
253,Dee Winters
254,Malaki Starks
255,Tyson Campbell
256,Jordan Mason
257,Aidan Hutchinson
258,Caleb Downs
259,Grant Delpit
260,Andrew Mukuba
