Player,Position,Team,KeeperRound,AcquisitionType,DraftTeam
"Garrett Wilson",WR,NYJ,3,"Drafted (Round 3)","I LIKE BIG TDS"
"TreVeyon Henderson",RB,NE,3,"Drafted (Round 3)","Berserker"
"Jalen Hurts",QB,PHI,3,"Drafted (Round 3)","Wailin Raylans"
"Kenneth Walker III",RB,SEA,3,"Drafted (Round 3)","Postino's Bandits"
"James Conner",RB,ARI,3,"Drafted (Round 3)","Fat Lazy Americans"
"Tyreek Hill",WR,MIA,3,"Drafted (Round 3)","MombaMentality"
"Joe Burrow",QB,CIN,3,"Drafted (Round 3)","Billy Goat Trash"
"DK Metcalf",WR,SEA,3,"Drafted (Round 3)","Rafi Bomb"
"Travis Kelce",TE,KC,3,"Drafted (Round 3)","No Talent"
"Terry McLaurin",WR,WAS,3,"Drafted (Round 3)","Oroszlanok"
"Davante Adams",WR,NYJ,3,"Drafted (Round 3)","Dumpster Fire"
"Tee Higgins",WR,CIN,4,"Drafted (Round 4)","Dumpster Fire"
"RJ Harvey",RB,DEN,4,"Drafted (Round 4)","Oroszlanok"
"DJ Moore",WR,CHI,4,"Drafted (Round 4)","No Talent"
"Aaron Jones Sr.",RB,MIN,4,"Drafted (Round 4)","Rafi Bomb"
"Tony Pollard",RB,TEN,4,"Drafted (Round 4)","Billy Goat Trash"
"Isiah Pacheco",RB,KC,4,"Drafted (Round 4)","MombaMentality"
"Breece Hall",RB,NYJ,4,"Drafted (Round 4)","Fat Lazy Americans"
"D'Andre Swift",RB,CHI,4,"Drafted (Round 4)","Postino's Bandits"
"Xavier Worthy",WR,KC,4,"Drafted (Round 4)","Wailin Raylans"
"Travis Hunter",WR,JAX,4,"Drafted (Round 4)","Berserker"
"Patrick Mahomes",QB,KC,4,"Drafted (Round 4)","I LIKE BIG TDS"
"Jaylen Warren",RB,PIT,4,"Drafted (Round 4)","Kona’s Kicking Team"
"Jameson Williams",WR,DET,5,"Drafted (Round 5)","Kona’s Kicking Team"
"T.J. Hockenson",TE,MIN,5,"Drafted (Round 5)","I LIKE BIG TDS"
"Tetairoa McMillan",WR,CAR,5,"Drafted (Round 5)","Berserker"
"Courtland Sutton",WR,DEN,5,"Drafted (Round 5)","Wailin Raylans"
"DeVonta Smith",WR,PHI,5,"Drafted (Round 5)","Postino's Bandits"
"George Pickens",WR,DAL,5,"Drafted (Round 5)","Fat Lazy Americans"
"David Montgomery",RB,DET,5,"Drafted (Round 5)","MombaMentality"
"Emeka Egbuka",WR,TB,5,"Drafted (Round 5)","Billy Goat Trash"
"Jaylen Waddle",WR,MIA,5,"Drafted (Round 5)","Rafi Bomb"
"Ricky Pearsall",WR,SF,5,"Drafted (Round 5)","No Talent"
"Chris Olave",WR,NO,5,"Drafted (Round 5)","Oroszlanok"
"Kaleb Johnson",RB,PIT,5,"Drafted (Round 5)","Dumpster Fire"
"Mark Andrews",TE,BAL,6,"Drafted (Round 6)","Dumpster Fire"
"Rome Odunze",WR,CHI,6,"Drafted (Round 6)","Oroszlanok"
"Brian Thomas Jr.",WR,JAX,6,"Drafted (Round 6)","No Talent"
"Tyrone Tracy Jr.",RB,NYG,6,"Drafted (Round 6)","Rafi Bomb"
"Jordan Mason",RB,SF,6,"Drafted (Round 6)","Billy Goat Trash"
"Chase Brown",RB,CIN,6,"Drafted (Round 6)","MombaMentality"
"Jaxon Smith-Njigba",WR,SEA,6,"Drafted (Round 6)","Fat Lazy Americans"
"Brock Bowers",TE,LV,6,"Drafted (Round 6)","Postino's Bandits"
