Player,Position,Team,KeeperRound,AcquisitionType,DraftTeam,IsPriorKeeper
"Michael Gallup",WR,DAL,16,"Drafted (Round 16)","Jesus take the wheel",NO
"Alex Singleton",LB,DEN,16,"Drafted (Round 16)","Unicorn Love",NO
"Justin Reid",DB,S,KC,16,"Drafted (Round 16)","McGibblets",NO
"Christian Wilkins",DL,DT,MIA,17,"Drafted (Round 17)","McGibblets",NO
"Riley Patterson",K,DET,17,"Drafted (Round 17)","Unicorn Love",NO
"Sauce Gardner",DB,CB,NYJ,17,"Drafted (Round 17)","Jesus take the wheel",NO
"C.J. Moore",DB,S,DET,17,"Drafted (Round 17)","Kryponite",NO
"Matt Milano",LB,BUF,17,"Drafted (Round 17)","Kelce You in...",NO
"Cameron Dicker",K,LAC,17,"Drafted (Round 17)","My Balls Are Afoot",NO
"Juwan Johnson",TE,NO,17,"Drafted (Round 17)","The Trophy Wives",NO
"Jason Sanders",K,MIA,17,"Drafted (Round 17)","BeaverFever",NO
"Jason Myers",K,SEA,17,"Drafted (Round 17)","The Curious Case of Cookus",NO
"Brandon McManus",K,JAX,17,"Drafted (Round 17)","Dolphin Boobiez",NO
"Tyjae Spears",RB,TEN,17,"Drafted (Round 17)","Fat Lazy Americans",NO
"Adam Thielen",WR,CAR,17,"Drafted (Round 17)","Olivators",NO
