player,position,team,adp
Bhayshul Tuten,RB,JAX,61.4
Dak Prescott,QB,DAL,61.5
Carnell Tate,WR,TEN,62.5
Drake Maye,QB,NE,64.5
Jaylen Warren,RB,PIT,66.2
DJ Moore,WR,BUF,66.2
Marvin Harrison Jr.,WR,ARI,66.8
Harold Fannin Jr.,TE,CLE,68.9
Sam LaPorta,TE,DET,69.8
Michael Pittman Jr.,WR,PIT,70.3
Rhamondre Stevenson,RB,NE,70.3
Parker Washington,WR,JAX,72.4
Tucker Kraft,TE,GB,73.1
Tony Pollard,RB,TEN,74.0
Courtland Sutton,WR,DEN,74.6
Patrick Mahomes,QB,KC,74.6
Jadarian Price,RB,SEA,75.2
Justin Herbert,QB,LAC,75.2
Chris Godwin Jr.,WR,TB,78.4
Rico Dowdle,RB,PIT,79.2
Michael Wilson,WR,ARI,80.9
Chuba Hubbard,RB,CAR,82.3
Jordyn Tyson,WR,NO,83.3
Jayden Reed,WR,GB,83.3
Trevor Lawrence,QB,JAX,83.5
Brian Thomas Jr.,WR,JAX,84.0
Josh Downs,WR,IND,85.3
Kyle Pitts Sr.,TE,ATL,86.8
Jayden Daniels,QB,WAS,87.2
Wan'Dale Robinson,WR,TEN,87.7
RJ Harvey,RB,DEN,90.0
Jared Goff,QB,DET,92.9
Jordan Addison,WR,MIN,93.1
J.K. Dobbins,RB,DEN,94.4
Jalen Hurts,QB,PHI,94.9
Seattle Defense,DEF,SEA,95.1
Aaron Jones Sr.,RB,MIN,97.8
Xavier Worthy,WR,KC,97.9
Romeo Doubs,WR,NE,98.1
Jakobi Meyers,WR,JAX,98.3
Quentin Johnston,WR,LAC,98.6
Khalil Shakir,WR,BUF,100.0
Denver Defense,DEF,DEN,100.9
Brock Purdy,QB,SF,101.0
Kenny Gainwell,RB,TB,101.2
Travis Kelce,TE,KC,101.2
Ricky Pearsall,WR,SF,102.3
Matthew Stafford,QB,LAR,102.9
Rachaad White,RB,WAS,103.5
Kyle Monangai,RB,CHI,105.2
George Kittle,TE,SF,106.1
Makai Lemon,WR,PHI,107.2
LA Rams Defense,DEF,LAR,107.7
Houston Defense,DEF,HOU,107.9
Caleb Williams,QB,CHI,108.2
Matthew Golden,WR,GB,113.0
Jalen Coker,WR,CAR,114.2
New England Defense,DEF,NE,115.2
Bo Nix,QB,DEN,116.7
Jake Ferguson,TE,DAL,116.7
Jaxson Dart,QB,NYG,119.8
KC Concepcion,WR,CLE,119.8
Jayden Higgins,WR,HOU,120.0
Dallas Goedert,TE,PHI,120.8
Blake Corum,RB,LAR,121.5
Jacory Croskey-Merritt,RB,WAS,121.8
Philadelphia Defense,DEF,PHI,125.5
Jonathon Brooks,RB,CAR,127.7
Mark Andrews,TE,BAL,127.7
Baker Mayfield,QB,TB,129.1
Jordan Mason,RB,MIN,129.3
Rashid Shaheed,WR,SEA,129.5
Jordan Love,QB,GB,129.5
Jauan Jennings,WR,MIN,129.7
Jacksonville Defense,DEF,JAX,129.7
Omar Cooper Jr.,WR,NYJ,130.7
Jason Myers,PK,SEA,131.6
Brandon Aubrey,PK,DAL,132.8
Dalton Kincaid,TE,BUF,133.7
Tre Tucker,WR,LV,134.1
Jalen Nailor,WR,LV,134.3
Denzel Boston,WR,CLE,135.1
Tyjae Spears,RB,TEN,135.4
Harrison Mevis,PK,LAR,137.5
Jerry Jeudy,WR,CLE,138.2
Juwan Johnson,TE,NO,138.8
Minnesota Defense,DEF,MIN,138.9
Isaiah Likely,TE,NYG,139.2
Cameron Dicker,PK,LAC,140.4
Detroit Defense,DEF,DET,141.8
Green Bay Defense,DEF,GB,142.7
Woody Marks,RB,HOU,142.8
Tyler Shough,QB,NO,143.4
Ka'imi Fairbairn,PK,HOU,143.6
Jalen McMillan,WR,TB,144.0
Antonio Williams,WR,WAS,144.9
Pittsburgh Defense,DEF,PIT,145.7
Calvin Ridley,WR,TEN,147.2
Sam Darnold,QB,SEA,148.6
Jake Bates,PK,DET,148.7
Kyler Murray,QB,MIN,150.3
