Player,Position,Team,DraftTeam,AcquisitionType,AcquisitionDate,AcquiredAfterWeek11
"Trey Benson",RB,ARI,"Rafi Bomb Returns!","Drafted","Drafted (Round 13)",NO
"Jalen Hurts",QB,PHI,"Wailin Raylans","Drafted","Drafted (Round 3)",NO
"Courtland Sutton",WR,DEN,"Wailin Raylans","Drafted","Drafted (Round 5)",NO
"Jauan Jennings",WR,SF,"Wailin Raylans","Drafted","Drafted (Round 9)",NO
"Jahmyr Gibbs",RB,DET,"Wailin Raylans","Drafted","Drafted (Round 1)",NO
"Zach Charbonnet",RB,SEA,"Wailin Raylans","Drafted","Drafted (Round 6)",NO
"Colston Loveland",TE,CHI,"MombaMentality","Drafted","Drafted (Round 11)",NO
"Xavier Worthy",WR,KC,"Wailin Raylans","Drafted","Drafted (Round 4)",NO
"Harrison Butker",K,KC,"Wailin Raylans","Free Agent Pickup","Waiver Pickup",NO
"Blake Cashman",LB,MIN,"Berserker","Drafted","Drafted (Round 12)",NO
"Payton Wilson",LB,PIT,"Wailin Raylans","Free Agent Pickup","Waiver Pickup",NO
"Paulson Adebo",DB,NO,"Wailin Raylans","Free Agent Pickup","Waiver Pickup",NO
"Wan'Dale Robinson",WR,NYG,"Wailin Raylans","Free Agent Pickup","Waiver Pickup",NO
"Jakobi Meyers",WR,LV,"Wailin Raylans","Drafted","Drafted (Round 11)",NO
"Sean Tucker",RB,TB,"Wailin Raylans","Free Agent Pickup","Waiver Pickup",NO
"Jacory Croskey-Merritt",RB,WAS,"Fat Lazy Americans","Drafted","Drafted (Round 8)",NO
"Justin Herbert",QB,LAC,"Wailin Raylans","Free Agent Pickup","Waiver Pickup",NO
"Tucker Kraft",TE,GB,"Wailin Raylans","Drafted","Drafted (Round 7)",NO
