player,position,team,adp,adp_round,adp_pos_rank,percent_drafted
AJ Barner,TE,Sea,124.7,13.0,,0.06
Aaron Jones Sr.,RB,Min,124.9,13.2,,0.60
Dalton Schultz,TE,Hou,124.9,12.9,,0.38
Isiah Pacheco,RB,Det,124.9,13.4,,0.06
Keenan Allen,WR,Ind,125.1,13.1,,0.05
49ers,DEF,SF,125.2,13.0,,0.07
Rachaad White,RB,Was,125.3,13.3,,0.52
Baker Mayfield,QB,TB,125.4,13.1,,0.40
Terrance Ferguson,TE,LAR,125.4,13.0,,0.17
Alvin Kamara,RB,NO,125.4,13.3,,0.11
Bears,DEF,Chi,125.4,13.0,,0.05
C.J. Stroud,QB,Hou,125.7,13.0,,0.10
Emmett Johnson,RB,KC,126.1,14.0,,0.02
Kayshon Boutte,WR,Hou,126.1,13.2,,0.02
Braelon Allen,RB,NYJ,126.2,14.1,,0.02
Oronde Gadsden,TE,LAC,126.4,13.3,,0.13
Chig Okonkwo,TE,Was,126.5,13.2,,0.37
Ja'Kobi Lane,WR,Bal,126.9,13.4,,0.03
Giants,DEF,NYG,126.9,13.2,,0.02
Deebo Samuel Sr.,WR,SF,127.2,13.4,,0.19
Daniel Jones,QB,Ind,127.2,13.3,,0.06
Hunter Henry,TE,NE,127.5,13.3,,0.50
T.J. Hockenson,TE,Min,127.6,13.3,,0.08
Rashid Shaheed,WR,Sea,128.1,13.3,,0.15
Jalen Nailor,WR,LV,128.1,13.6,,0.02
Bills,DEF,Buf,128.4,13.6,,0.09
Jonah Coleman,RB,Den,128.5,14.1,,0.07
Tre Tucker,WR,LV,128.6,13.5,,0.02
Tank Bigsby,RB,Phi,128.7,14.1,,0.07
Harrison Butker,K,KC,128.7,13.4,,0.13
Xavier Worthy,WR,KC,129.0,13.5,,0.34
Tyler Allgeier,RB,Ari,129.7,14.0,,0.18
Kaelon Black,RB,SF,129.8,14.3,,0.04
Brenton Strange,TE,Jax,129.8,13.6,,0.24
Tyler Shough,QB,NO,130.0,13.7,,0.20
Kenyon Sadiq,TE,NYJ,130.1,13.6,,0.08
Chris Rodriguez Jr.,RB,Jax,130.3,13.8,,0.46
Tyrone Tracy Jr.,RB,NYG,130.4,14.1,,0.09
Wan'Dale Robinson,WR,Ten,130.5,13.7,,0.55
Khalil Shakir,WR,Buf,130.5,13.6,,0.10
Trey Smack,K,GB,130.5,13.6,,0.06
Woody Marks,RB,Hou,130.6,14.0,,0.15
Greg Dulcich,TE,Mia,130.6,13.7,,0.02
Denzel Boston,WR,Cle,130.9,13.9,,0.03
Zach Charbonnet,RB,Sea,131.0,14.0,,0.24
Jakobi Meyers,WR,Jax,131.1,13.8,,0.35
Chiefs,DEF,KC,131.1,13.7,,0.05
Cam Little,K,Jax,131.2,13.8,,0.99
Harrison Mevis,K,LAR,131.2,13.7,,0.57
Keaton Mitchell,RB,LAC,131.3,14.4,,0.10
Patriots,DEF,NE,131.8,13.8,,0.93
Tyjae Spears,RB,Ten,132.0,14.4,,0.05
Chris Boswell,K,Pit,132.2,13.8,,0.16
Romeo Doubs,WR,NE,132.3,13.8,,0.31
Vikings,DEF,Min,132.6,13.9,,0.98
Jalen Coker,WR,Car,133.4,14.0,,0.30
Packers,DEF,GB,135.4,14.1,,0.09
Cowboys,DEF,Dal,135.5,14.0,,0.22
Lions,DEF,Det,136.3,14.2,,0.31
Ravens,DEF,Bal,136.4,14.1,,0.70
Wil Lutz,K,Den,136.5,14.1,,0.11
Jake Bates,K,Det,137.6,14.3,,0.40
Steelers,DEF,Pit,137.8,14.3,,0.84
Chase McLaughlin,K,TB,138.3,14.4,,0.06
Jaguars,DEF,Jax,138.4,14.5,,0.91
Tyler Loop,K,Bal,139.4,14.6,,0.95
Chargers,DEF,LAC,139.5,14.6,,0.41
Andy Borregales,K,NE,142.3,14.8,,0.12
Evan McPherson,K,Cin,142.4,14.7,,0.48
Will Reichard,K,Min,142.7,14.8,,0.65
Eddy Pineiro,K,SF,142.7,14.7,,0.66
Cairo Santos,K,Chi,144.2,14.8,,0.53
