OverallRank,Round,Player,Position,Team,TheLeagueProjPoints,VORP,GenericHalfPPRPoints,KeeperStatus
50,5,Tetairoa McMillan,WR,CAR,193.1,30,193.1,
51,5,DeVonta Smith,WR,PHI,193,29.9,193.1,LOCKED Postino's Banditos Rd 3
52,5,Bhayshul Tuten,RB,JAC,194.9,29.8,194.9,
53,5,Cedric Gray,LB,TEN,162.4,29.5,244,
54,5,Lamar Jackson,QB,BAL,371.9,28.9,324.9,
55,5,Emeka Egbuka,WR,TB,191.6,28.5,191.6,
56,5,Tyler Warren,TE,IND,159.7,28.3,159.7,
57,5,Ernest Jones IV,LB,SEA,160,27.1,241.1,
58,5,Quay Walker,LB,LV,159.8,26.9,239.4,
59,5,Harold Fannin Jr.,TE,CLE,157.5,26.1,157.5,
60,5,Davante Adams,WR,LAR,187.8,24.7,187.8,
61,6,Alex Singleton,LB,DEN,156.1,23.2,235.1,
62,6,Tee Higgins,WR,CIN,186.2,23.1,186.2,
63,6,Jamien Sherwood,LB,NYJ,156,23.1,233.9,
64,6,Roquan Smith,LB,BAL,156,23.1,234.6,
65,6,Drake Maye,QB,NE,365.7,22.7,320.7,
66,6,Joe Burrow,QB,CIN,365.7,22.7,310.8,LOCKED Fat Lazy Americans Rd 10
67,6,Jameson Williams,WR,DET,185.2,22.1,185.2,
68,6,Tremaine Edmunds,LB,NYG,154.1,21.2,231.9,
69,6,George Kittle,TE,SF,151.7,20.3,151.7,
70,6,Nakobe Dean,LB,LV,152.4,19.5,230.7,
71,6,Nate Landman,LB,LAR,151.8,18.9,231.5,
72,6,Jalen Hurts,QB,PHI,361.2,18.2,320.2,
73,7,David Montgomery,RB,HOU,183,17.9,182.9,
74,7,Kyle Pitts Sr.,TE,ATL,149.2,17.8,149.2,
75,7,Sam LaPorta,TE,DET,149,17.6,149,
76,7,Zack Baun,LB,PHI,149.6,16.7,225.2,
77,7,Jayden Daniels,QB,WAS,358.7,15.7,322.2,
78,7,Ladd McConkey,WR,LAC,178.6,15.5,178.6,LOCKED Billy Goat Tavern Rd 4
79,7,Dallas Goedert,TE,PHI,146.7,15.3,146.8,
80,7,Bobby Okereke,LB,CAR,147.5,14.6,221.2,
81,7,Robert Spillane,LB,NE,145.9,13,219.4,
82,7,Travis Kelce,TE,KC,144.4,13,144.4,
83,7,Dak Prescott,QB,DAL,355.9,12.9,305.4,
84,7,Demario Davis,LB,NYJ,145.8,12.9,220.1,
85,8,Dre Greenlaw,LB,SF,145.7,12.8,219.4,
86,8,Tucker Kraft,TE,GB,144.2,12.8,144.2,
87,8,Daiyan Henley,LB,LAC,145.4,12.5,217.9,
88,8,Terry McLaurin,WR,WAS,175,11.9,175,
89,8,Barrett Carter,LB,CIN,144.7,11.8,217.2,
90,8,Edgerrin Cooper,LB,GB,144.2,11.3,217.8,
91,8,Patrick Queen,LB,PIT,144.2,11.3,217.1,
92,8,Rome Odunze,WR,CHI,174.1,11,174.1,
93,8,DJ Moore,WR,BUF,173.6,10.5,173.6,
94,8,Azeez Al-Shaair,LB,HOU,143.4,10.5,216.6,
95,8,Matthew Stafford,QB,LAR,353.2,10.2,293.9,LOCKED Billy Goat Tavern Rd 10
96,8,Jaylen Waddle,WR,DEN,173.2,10.1,173.2,
97,9,Jaylen Warren,RB,PIT,174.8,9.7,174.8,
98,9,Jadarian Price,RB,SEA,174.5,9.4,174.5,
99,9,TreVeyon Henderson,RB,NE,173.9,8.8,173.9,
100,9,Luther Burden III,WR,CHI,171.7,8.6,171.8,
101,9,Sonny Styles,LB,WAS,141.5,8.6,213.3,
102,9,Tony Pollard,RB,TEN,171.7,6.6,171.7,
103,9,Jaquan Brisker,DB,PIT,139.3,6.4,209.2,
104,9,Rhamondre Stevenson,RB,NE,171.1,6,171.1,
105,9,Mark Andrews,TE,BAL,137.3,5.9,137.3,
106,9,Kaden Elliss,LB,NO,138.7,5.8,207.8,
107,9,Devin Bush Jr.,LB,CHI,138.3,5.4,209.2,
108,9,Nick Scott,DB,CAR,138.2,5.3,207.8,
109,10,Christian Watson,WR,GB,168.3,5.2,168.3,
110,10,DeMarvion Overshown,LB,DAL,138.1,5.2,207.4,
111,10,Trevor Lawrence,QB,JAC,347.6,4.6,306.6,
112,10,Caleb Williams,QB,CHI,347,4,301.5,
113,10,Brock Purdy,QB,SF,346.4,3.4,306,
114,10,Budda Baker,DB,ARI,135.7,2.8,204.3,
